nama_pos_pemadam,latitude,longitude
Pos Kresek,-6.1781513,106.7135312
Kantor Sektor VI,-6.1846385,106.7349835
Kantor Sektor I,-6.2441307,106.7547598
Kantor Sektor V,-6.2028025,106.7816160
Pos Puri Indah,-6.2727535,106.8100474
Kantor Sektor III,-6.1331078,106.8082498
Pos Joglo,-6.2207801,106.7349944
Kantor Sektor VII,-6.1352681,106.7234717
Pos Keb. Jeruk Lama,-6.1629484,106.8555467
Pos Rawa Buaya,-6.1621057,106.7318432
Pos Lokasari,-6.1481180,106.8275460
Pos Krendang,-6.1480516,106.8041592
Pos Angke,-6.1476300,106.7998700
Kantor Sektor VIII,-6.1441570,106.6965740
Pos Citra II,-6.1440140,106.6970840
Pos Citra I,-6.1438851,106.6971067
Kantor Sektor IV,-6.1332491,106.8146044
Kantor Sudin Jakarta Barat,-6.1740270,106.7879540
Pos Setneg,-6.1682319,106.8296408
Pos Serdang,-6.1632790,106.8619352
Pos Bungur,-6.1629745,106.8398050
Kantor Sudin Jakarta Pusat,-6.1607870,106.8166150
Pos Pasar Baru,-6.1584490,106.8316265
Sektor Kemayoran,-6.1575949,106.8531507
Sektor  Mangga Dua Selatan,-6.1385377,106.8266996
Pos MPR/DPR,-6.2094035,106.7998032
Pos Karet,-6.2028394,106.8059316
Pos Kebon Melati,-6.2001694,106.8141670
Pos TIM,-6.1905136,106.8392400
Pos Tanah Abang,-6.1846023,106.8150200
Sektor Cempaka Putih,-6.1831205,106.8683855
Pos Johar Baru,-6.1821414,106.8578980
Pos Jati Baru,-6.1815524,106.8106259
Pos Cempaka Putih,-6.1813538,106.8637223
Pos Balaikota,-6.1805748,106.8275197
Pos Walikota JP,-6.1705911,106.8195223
Kantor Sektor Pesanggrahan,-6.2659119,106.8042902
Kantor Sektor Jagakarsa,-6.3475730,106.8020450
Pos Walikota,-6.2634546,106.8083075
Pos Srengseng Sawah,-6.3490740,106.8205652
Pos Ciganjur,-6.3440955,106.8015321
Pos Grogol Utara,-6.2219940,106.7796431
Pos Casablanca,-6.2212780,106.8424360
Pos Fatmawati,-6.2799425,106.7967047
Kantor Sektor Pasar Minggu,-6.2830271,106.8431624
Pos Pejaten,-6.2794454,106.8369803
Pos Cipulir,-6.2376311,106.7625574
Pos Tanah Kusir,-6.2501170,106.7781270
Pos Pasar Minggu,-6.3078920,106.8385584
Pos Kalibata,-6.2531030,106.8504440
Pos Mampang Prapatan,-6.2402600,106.8253300
Pos Kebayoran Baru,-6.2476861,106.7940606
Pos Kayu Putih,-6.1768492,106.8789773
Pos Diklatkar,-6.3281109,106.8816699
Pos Kramat Jati,-6.3278140,106.8812810
Pos Taman Mini,-6.2967000,106.8915520
Kantor Sektor,-6.2895448,106.8588643
Pos Batu Ampar,-6.2670408,106.8658134
Kantor Sektor Makassar,-6.2638112,106.8801365
Kantor Sektor,-6.2468065,106.9092197
Pos Cipinang Cimpedak,-6.2319511,106.8772772
Pos Klender/Malaka,-6.2245618,106.9344162
Pos Cipinang,-6.2131532,106.8855868
Pos Walikota JT,-6.2104868,106.9466389
Kantor Sudin Jakarta Timur,-6.2088700,106.8591800
Sektor Pemuda,-6.1933622,106.8911175
Pos Utan Kayu,-6.1930680,106.8699296
Kantor Sektor,-6.1909521,106.9430674
Pos Gading Griya,-6.1410050,106.9154740
Pos Teluk Gong,-6.1394842,106.7786870
Pos Kelapa Gading,-6.1571160,106.9040010
Pos Gaya Motor,-6.1378710,106.8868510
Pos Muara Baru,-6.1584490,106.8316265
Pos Pegangsaan Dua,-6.1680650,106.9181690
Kantor Sudin Jakarta Utara,-6.2177400,106.8368490
Pos Pademangan Barat,-6.1311235,106.8416322
Sektor  Ancol,-6.1228577,106.8219486
Sektor 2 ( Koja),-6.1151910,106.8938448
Pos Muara Angke,-6.1074210,106.7743720
