kelurahan,kecamatan,total_insiden,total_petugas_mati,total_petugas_luka,total_masyarakat_mati,total_masyarakat_luka,bangunan_runtuh,kebakaran,transportasi,air,ketinggian,b3,pgd_paramedik,pgd_transportasi
Bekasi,Bekasi,13,0,0,0,0,0,11,0,2,0,0,0,0
Cakung Barat,Cakung,7,0,0,0,0,0,5,0,2,0,0,0,0
Rawa Terate,Cakung,9,0,0,0,0,0,9,0,0,0,0,0,0
Pulo Gebang,Cakung,11,0,0,0,0,0,10,0,0,0,0,0,1
Cakung Timur,Cakung,4,0,0,0,0,0,4,0,0,0,0,0,0
Jatinegara,Cakung,8,0,0,0,0,0,7,0,1,0,0,0,0
Penggilingan ,Cakung,9,0,0,1,1,0,5,0,3,1,0,0,0
Rawasari ,Cempaka Putih,2,0,0,0,0,0,2,0,0,0,0,0,0
Cempaka Putih Timur,Cempaka Putih,8,0,0,0,1,0,7,0,1,0,0,0,0
Cempaka Putih Barat ,Cempaka Putih,7,0,2,1,2,0,7,0,0,0,0,0,0
Cengkareng Barat,Cengkareng,16,0,0,0,2,0,13,0,3,0,0,0,0
Duri Kosambi,Cengkareng,6,0,0,0,0,0,6,0,0,0,0,0,0
Kedaung Kali Angke,Cengkareng,9,0,0,1,0,0,3,0,6,0,0,0,0
Rawa Buaya,Cengkareng,10,0,0,0,0,1,4,0,5,0,0,0,0
Cengkareng Timur,Cengkareng,15,0,0,0,0,0,7,0,3,0,0,0,5
Kapuk,Cengkareng,23,0,0,1,1,0,10,0,13,0,0,0,0
Pondok Labu,Cilandak,4,0,0,1,2,1,1,0,1,0,0,0,1
Cilandak Barat,Cilandak,15,0,0,1,0,0,13,0,0,0,0,1,1
Gandaria Selatan,Cilandak,3,0,0,0,0,0,2,0,1,0,0,0,0
Cipete Selatan,Cilandak,6,0,0,1,0,0,4,0,1,0,0,0,1
Lebak Bulus,Cilandak,7,0,0,0,0,0,4,0,0,1,0,0,2
Semper Barat,Cilincing,7,0,0,0,0,1,4,0,0,0,0,0,2
Rorotan,Cilincing,7,0,0,0,0,0,7,0,0,0,0,0,0
Sukapura,Cilincing,3,0,0,0,0,0,3,0,0,0,0,0,0
Semper Timur,Cilincing,4,0,0,0,0,0,4,0,0,0,0,0,0
Kalibaru,Cilincing,5,0,0,0,1,0,5,0,0,0,0,0,0
Cilincing,Cilincing,6,0,0,0,0,0,5,0,0,0,0,0,1
Marunda,Cilincing,5,0,0,0,1,0,4,0,0,1,0,0,0
Cilangkap,Cipayung,2,0,0,1,0,1,0,0,1,0,0,0,0
Pondok Rangon,Cipayung,1,0,0,0,0,0,1,0,0,0,0,0,0
Ceger,Cipayung,3,0,0,0,0,0,3,0,0,0,0,0,0
Munjul,Cipayung,1,0,0,0,0,1,0,0,0,0,0,0,0
Setu,Cipayung,1,0,0,0,0,0,1,0,0,0,0,0,0
Lubang Buaya,Cipayung,5,0,0,0,0,0,5,0,0,0,0,0,0
Bambu Apus,Cipayung,6,0,0,0,0,0,6,0,0,0,0,0,0
Cipayung,Cipayung,4,0,0,0,0,0,4,0,0,0,0,0,0
Kelapa Dua Wetan,Ciracas,4,0,0,0,0,1,2,0,0,0,0,0,1
Ciracas,Ciracas,9,0,0,0,0,1,7,0,0,0,0,0,1
Rambutan,Ciracas,1,0,0,0,0,1,0,0,0,0,0,0,0
Susukan,Ciracas,1,0,0,0,0,0,1,0,0,0,0,0,0
Cibubur,Ciracas,6,0,0,0,1,1,5,0,0,0,0,0,0
Depok,Depok,7,0,0,0,0,0,7,0,0,0,0,0,0
Malaka Sari,Duren Sawit,3,0,0,0,0,0,3,0,0,0,0,0,0
Pondok Bambu,Duren Sawit,3,0,0,0,0,0,3,0,0,0,0,0,0
Duren Sawit,Duren Sawit,11,0,0,0,0,0,8,0,1,0,0,0,2
Pondok Kelapa,Duren Sawit,8,0,0,0,0,1,6,0,0,0,0,0,1
Klender,Duren Sawit,11,0,0,0,1,0,9,0,1,0,0,0,1
Malaka Jaya,Duren Sawit,1,0,0,0,0,0,1,0,0,0,0,0,0
Pondok Kopi,Duren Sawit,1,0,0,0,0,0,1,0,0,0,0,0,0
Petojo Selatan ,Gambir,5,0,0,0,0,0,5,0,0,0,0,0,0
Kebon Kelapa ,Gambir,2,0,0,0,0,0,2,0,0,0,0,0,0
Gambir ,Gambir,9,0,0,0,2,0,4,0,0,0,0,5,0
Petojo Utara,Gambir,4,0,0,0,0,0,4,0,0,0,0,0,0
Cideng,Gambir,4,0,0,0,0,0,4,0,0,0,0,0,0
Tanjung Duren Utara,Grogol Petamburan,6,0,0,0,2,0,1,0,4,0,0,0,1
Tomang,Grogol Petamburan,6,0,0,0,0,0,4,0,2,0,0,0,0
Wijaya Kusuma,Grogol Petamburan,11,0,0,0,2,0,9,0,1,0,0,0,1
Jelambar Baru,Grogol Petamburan,10,0,0,1,1,0,6,0,4,0,0,0,0
Jelambar,Grogol Petamburan,29,0,0,4,4,0,7,0,20,0,0,0,2
Tanjung Duren Selatan,Grogol Petamburan,4,0,0,0,0,0,0,0,4,0,0,0,0
Grogol,Grogol Petamburan,34,0,0,1,0,0,3,0,31,0,0,0,0
Cipedak,Jagakarsa,5,0,0,0,0,0,4,0,1,0,0,0,0
Ciganjur,Jagakarsa,5,0,0,0,0,0,5,0,0,0,0,0,0
Tanjung Barat,Jagakarsa,3,0,0,0,0,1,2,0,0,0,0,0,0
Jagakarsa,Jagakarsa,6,0,0,0,0,0,5,0,0,0,0,0,1
Lenteng Agung,Jagakarsa,2,0,0,0,0,0,2,0,0,0,0,0,0
Srengseng Sawah,Jagakarsa,5,0,0,0,0,0,5,0,0,0,0,0,0
Cipinang Besar Selatan,Jatinegara,3,0,0,0,0,0,2,0,0,0,0,0,1
Bali Mester,Jatinegara,2,0,0,0,0,0,2,0,0,0,0,0,0
Kampung Melayu,Jatinegara,10,0,0,0,0,1,3,0,6,0,0,0,0
Cipinang Cempedak,Jatinegara,1,0,0,0,0,0,1,0,0,0,0,0,0
Cipinang Besar Utara,Jatinegara,4,0,0,0,0,1,2,0,0,0,0,0,1
Bidara Cina,Jatinegara,8,0,0,0,0,1,4,0,2,0,0,0,1
Kampung Rawa ,Johar Baru,4,0,0,0,0,0,4,0,0,0,0,0,0
